2025-04-23T10:59:50.009Z Starting syncTagCollections
2025-04-23T11:03:47.865Z Updated collection adventure-accessory
2025-04-23T11:03:48.371Z Updated collection adventure-art
2025-04-23T11:03:48.884Z Updated collection adventure-bag
2025-04-23T11:03:49.737Z Updated collection adventure-car-stickers
2025-04-23T11:03:50.727Z Updated collection adventure-decal
2025-04-23T11:03:52.161Z Updated collection adventure-decals
2025-04-23T11:03:53.544Z Updated collection adventure-decor
2025-04-23T11:03:54.105Z Updated collection adventure-gear
2025-04-23T11:03:54.617Z Updated collection adventure-gear-accessory
2025-04-23T11:03:55.542Z Updated collection adventure-gear-decal
2025-04-23T11:03:56.052Z Updated collection adventure-gear-sticker
2025-04-23T11:03:56.892Z Updated collection adventure-gift
2025-04-23T11:03:57.386Z Updated collection adventure-jeep
2025-04-23T11:03:58.247Z Updated collection adventure-souvenir
2025-04-23T11:03:58.813Z Updated collection adventure-sticker
2025-04-23T11:03:59.672Z Updated collection adventure-stickers
2025-04-23T11:04:01.040Z Updated collection adventure-suv-decal
2025-04-23T11:04:01.511Z Updated collection adventure-travel
2025-04-23T11:04:02.404Z Updated collection adventure-travel-decal
2025-04-23T11:04:02.910Z Updated collection adventure-travel-sticker
2025-04-23T11:04:03.429Z Updated collection adventure-vehicle-accessory
2025-04-23T11:04:04.040Z Updated collection adventure-vehicle-decal
2025-04-23T11:04:04.960Z Updated collection adventure-vehicle-sticker
2025-04-23T11:04:05.883Z Updated collection adventure-vinyl
2025-04-23T11:04:06.745Z Updated collection adventure-vinyl-crest
2025-04-23T11:04:07.726Z Updated collection adventure-vinyl-decal
2025-04-23T11:04:08.646Z Updated collection adventure-vinyl-sticker
2025-04-23T11:04:09.158Z Updated collection advertising
2025-04-23T11:04:09.745Z Updated collection agriculture
2025-04-23T11:04:10.693Z Updated collection ai-coffee-cup
2025-04-23T11:04:11.197Z Updated collection ai-coffee-mug
2025-04-23T11:04:12.539Z Updated collection ai-memorabilia
2025-04-23T11:04:17.044Z Updated collection ai-security-sticker
2025-04-23T11:04:21.509Z Updated collection ai-tech-decal
2025-04-23T11:04:22.474Z Updated collection ai-vinyl-sticker
2025-04-23T11:04:23.120Z Updated collection ai-warning-sticker
2025-04-23T11:04:23.699Z Updated collection ai-optimized-2025-04-13
2025-04-23T11:04:24.525Z Updated collection ai-optimized-2025-04-14
2025-04-23T11:04:25.132Z Updated collection ai-optimized-2025-04-18
2025-04-23T11:04:25.748Z Updated collection ai-optimized-2025-04-20
2025-04-23T11:04:26.267Z Updated collection air-canada
2025-04-23T11:04:27.693Z Updated collection alarm-stickers
2025-04-23T11:04:28.309Z Updated collection alberta-adventure
2025-04-23T11:04:29.711Z Updated collection alberta-adventure-decal
2025-04-23T11:04:34.160Z Updated collection alberta-bison-decal
2025-04-23T11:04:38.649Z Updated collection alberta-decal
2025-04-23T11:04:39.108Z Updated collection alberta-gift
2025-04-23T11:04:41.007Z Updated collection alberta-logo
2025-04-23T11:04:41.885Z Updated collection alberta-mountains
2025-04-23T11:04:42.543Z Updated collection alberta-pride
2025-04-23T11:04:43.464Z Updated collection alberta-pride-sticker
2025-04-23T11:04:44.387Z Updated collection alberta-sticker
2025-04-23T11:04:45.308Z Updated collection alberta-vinyl-decal
2025-04-23T11:04:46.640Z Updated collection alberta-wildlife-sticker
2025-04-23T11:04:47.493Z Updated collection alice-in-wonderland-sticker
2025-04-23T11:04:48.342Z Updated collection alien-canvas-bag
2025-04-23T11:04:49.207Z Updated collection alien-canvas-tote
2025-04-23T11:04:49.714Z Updated collection alien-enthusiast-gift
2025-04-23T11:04:50.221Z Updated collection alien-gift
2025-04-23T11:04:51.142Z Updated collection alien-tote-bag
2025-04-23T11:04:51.862Z Updated collection alien-ufo-tote
2025-04-23T11:04:56.367Z Updated collection alien-universe
2025-04-23T11:04:57.290Z Updated collection alien-vinyl-stickers
2025-04-23T11:04:58.209Z Updated collection align-manifest-repeat
2025-04-23T11:04:58.710Z Updated collection allergic-to-mornings
2025-04-23T11:04:59.267Z Updated collection alpine-decor
2025-04-23T11:05:00.153Z Updated collection alpine-sticker
2025-04-23T11:05:01.384Z Updated collection alps-print
2025-04-23T11:05:02.305Z Updated collection aluminum-real-estate-sign
2025-04-23T11:05:03.225Z Updated collection american-flag-decal
2025-04-23T11:05:04.147Z Updated collection american-landmark-print
2025-04-23T11:05:05.016Z Updated collection andromeda
2025-04-23T11:05:06.402Z Updated collection andromeda-ascendant
2025-04-23T11:05:07.687Z Updated collection andromeda-galaxy
2025-04-23T11:05:08.653Z Updated collection andromeda-galaxy-tote
2025-04-23T11:05:09.170Z Updated collection animal-advocacy
2025-04-23T11:05:10.607Z Updated collection animal-art-decal
2025-04-23T11:05:15.106Z Updated collection animal-decal
2025-04-23T11:05:15.714Z Updated collection animal-decals
2025-04-23T11:05:16.563Z Updated collection animal-design
2025-04-23T11:05:17.029Z Updated collection animal-lover
2025-04-23T11:05:17.582Z Updated collection animal-lover-gift
2025-04-23T11:05:18.180Z Updated collection animal-rescue
2025-04-23T11:05:19.115Z Updated collection animal-rescue-advocacy
2025-04-23T11:05:20.022Z Updated collection animal-rescue-gift
2025-04-23T11:05:24.459Z Updated collection animal-rescue-sticker
2025-04-23T11:05:25.350Z Updated collection animal-sticker
2025-04-23T11:05:25.859Z Updated collection animal-welfare
2025-04-23T11:05:26.681Z Updated collection animated-decal
2025-04-23T11:05:27.554Z Updated collection animated-vinyl-decal
2025-04-23T11:05:28.109Z Updated collection anime-inspired
2025-04-23T11:05:28.621Z Updated collection anime-merch
2025-04-23T11:05:29.459Z Updated collection anime-sticker
2025-04-23T11:05:31.291Z Updated collection anti-ted-cruz
2025-04-23T11:05:31.862Z Updated collection anti-theft-stickers
2025-04-23T11:05:32.758Z Updated collection anxiety-quote
2025-04-23T11:05:34.132Z Updated collection aperture-laboratories
2025-04-23T11:05:34.663Z Updated collection apocalyptic
2025-04-23T11:05:35.280Z Updated collection apple-decor
2025-04-23T11:05:35.792Z Updated collection apple-pay-accepted
2025-04-23T11:05:36.712Z Updated collection apple-pay-decal
2025-04-23T11:05:37.566Z Updated collection area-51-stickers
2025-04-23T11:05:38.003Z Updated collection area-51-tote
2025-04-23T11:05:38.862Z Updated collection area-51-tote-bag
2025-04-23T11:05:39.719Z Updated collection armed-forces-decal
2025-04-23T11:05:40.315Z Updated collection army-collectible
2025-04-23T11:05:41.143Z Updated collection army-memorial
2025-04-23T11:05:42.038Z Updated collection army-tribute
2025-04-23T11:05:42.891Z Updated collection art-for-bedroom
2025-04-23T11:05:43.371Z Updated collection artificial-intelligence
2025-04-23T11:05:47.844Z Updated collection artistic
2025-04-23T11:05:48.292Z Updated collection asset-identification
2025-04-23T11:05:49.211Z Updated collection asset-tag
2025-04-23T11:05:49.642Z Updated collection asset-tag-stickers
2025-04-23T11:05:50.304Z Updated collection asset-tags
2025-04-23T11:05:50.828Z Updated collection astronomy-gift
2025-04-23T11:05:51.768Z Updated collection authentic-japanese
2025-04-23T11:05:52.481Z Updated collection auto-accessories
2025-04-23T11:05:53.330Z Updated collection auto-decal
2025-04-23T11:05:53.814Z Updated collection auto-racing
2025-04-23T11:05:54.734Z Updated collection auto-racing-art
2025-04-23T11:05:55.247Z Updated collection automotive-accessories
2025-04-23T11:05:55.760Z Updated collection automotive-accessory
2025-04-23T11:05:56.271Z Updated collection automotive-art
2025-04-23T11:05:57.295Z Updated collection automotive-branding
2025-04-23T11:05:58.162Z Updated collection automotive-crafts
2025-04-23T11:05:59.445Z Updated collection automotive-decal
2025-04-23T11:06:00.330Z Updated collection automotive-graphics
2025-04-23T11:06:00.802Z Updated collection automotive-sticker
2025-04-23T11:06:01.711Z Updated collection automotive-stickers
2025-04-23T11:06:02.312Z Updated collection automotive-svg
2025-04-23T11:06:06.756Z Updated collection automotive-vinyl
2025-04-23T11:06:07.636Z Updated collection automotive-vinyl-sticker
2025-04-23T11:06:12.143Z Updated collection autumn-decor
2025-04-23T11:06:13.576Z Updated collection baby-shower-banners
2025-04-23T11:06:14.087Z Updated collection baby-shower-gift
2025-04-23T11:06:14.955Z Updated collection babylon-5-decals
2025-04-23T11:06:16.136Z Updated collection babylon-5-merchandise
2025-04-23T11:06:16.660Z Updated collection babylon-5-tote
2025-04-23T11:06:17.159Z Updated collection backpack-accessory
2025-04-23T11:06:18.081Z Updated collection backpack-decal
2025-04-23T11:06:19.705Z Updated collection backpack-decoration
2025-04-23T11:06:20.896Z Updated collection backpack-sticker
2025-04-23T11:06:21.366Z Updated collection backpack-vinyl
2025-04-23T11:06:22.280Z Updated collection backpack-vinyl-decal
2025-04-23T11:06:23.165Z Updated collection backpack-vinyl-sticker
2025-04-23T11:06:24.005Z Updated collection backpacking
2025-04-23T11:06:24.430Z Updated collection backyard-bbq
2025-04-23T11:06:25.352Z Updated collection backyard-dad-svg
2025-04-23T11:06:25.864Z Updated collection bakery-branding
2025-04-23T11:06:26.335Z Updated collection bakery-packaging
2025-04-23T11:06:27.092Z Updated collection balloon-sticker
2025-04-23T11:06:27.962Z Updated collection banff-sticker
2025-04-23T11:06:28.439Z Updated collection barbecue-decor
2025-04-23T11:06:32.897Z Updated collection barbecue-logo
2025-04-23T11:06:34.291Z Updated collection barbecue-sticker
2025-04-23T11:06:35.445Z Updated collection barbecue-svg
2025-04-23T11:06:36.307Z Updated collection barber-shop-decal
2025-04-23T11:06:40.748Z Updated collection barbershop-promotion
2025-04-23T11:06:45.194Z Updated collection barcode-asset-tag
2025-04-23T11:06:45.684Z Updated collection barcode-decal
2025-04-23T11:06:46.157Z Updated collection barcode-label
2025-04-23T11:06:46.903Z Updated collection barcode-sticker
2025-04-23T11:06:47.390Z Updated collection basketball-fan-gift
2025-04-23T11:06:48.454Z Updated collection batman-collector-gift
2025-04-23T11:06:49.307Z Updated collection batman-decal
2025-04-23T11:06:49.807Z Updated collection batman-fan-gear
2025-04-23T11:06:50.710Z Updated collection batman-fan-gift
2025-04-23T11:06:52.002Z Updated collection batman-gift
2025-04-23T11:06:53.334Z Updated collection batman-merchandise
2025-04-23T11:06:57.799Z Updated collection batman-sticker
2025-04-23T11:06:58.678Z Updated collection batman-tote-bag
2025-04-23T11:06:59.509Z Updated collection batman-vinyl-decal
2025-04-23T11:07:00.373Z Updated collection batman-vinyl-decals
2025-04-23T11:07:00.796Z Updated collection battery-icon-sticker
2025-04-23T11:07:01.704Z Updated collection battle-cross-decal
2025-04-23T11:07:02.276Z Updated collection battlefield-cross
2025-04-23T11:07:03.722Z Updated collection battlefield-hero
2025-04-23T11:07:04.571Z Updated collection battlestar-galactica-decals
2025-04-23T11:07:05.083Z Updated collection bbq-accessories
2025-04-23T11:07:06.107Z Updated collection bbq-dad-svg
2025-04-23T11:07:06.949Z Updated collection bbq-decal
2025-04-23T11:07:07.848Z Updated collection bbq-grill-decal
2025-04-23T11:07:08.754Z Updated collection bbq-sticker
2025-04-23T11:07:09.667Z Updated collection bc-decal
2025-04-23T11:07:11.013Z Updated collection bc-hiking
2025-04-23T11:07:11.741Z Updated collection bc-logo
2025-04-23T11:07:13.181Z Updated collection bc-logo-decal
2025-04-23T11:07:13.789Z Updated collection bc-logo-sticker
2025-04-23T11:07:14.710Z Updated collection bc-mountain-decal
2025-04-23T11:07:15.327Z Updated collection bc-mountain-logo
2025-04-23T11:07:16.349Z Updated collection bc-mountain-sticker
2025-04-23T11:07:16.838Z Updated collection bc-mountains
2025-04-23T11:07:17.679Z Updated collection bc-nature-decal
2025-04-23T11:07:18.808Z Updated collection bc-outdoor-decal
2025-04-23T11:07:19.286Z Updated collection bc-outdoor-sticker
2025-04-23T11:07:20.242Z Updated collection be-like-water-decal
2025-04-23T11:07:21.288Z Updated collection beach-decal
2025-04-23T11:07:21.878Z Updated collection beach-decor
2025-04-23T11:07:22.801Z Updated collection beach-landscape
2025-04-23T11:07:23.721Z Updated collection beach-laptop-stickers
2025-04-23T11:07:24.234Z Updated collection beach-scene
2025-04-23T11:07:25.213Z Updated collection bear-logo
2025-04-23T11:07:26.075Z Updated collection beaver-decal
2025-04-23T11:07:26.588Z Updated collection bedroom-decor
2025-04-23T11:07:31.029Z Updated collection bell-aliant-security-decals
2025-04-23T11:07:31.910Z Updated collection bible-study-gift
2025-04-23T11:07:32.630Z Updated collection biker
2025-04-23T11:07:33.245Z Updated collection biker-culture
2025-04-23T11:07:34.162Z Updated collection biker-lifestyle
2025-04-23T11:07:34.634Z Updated collection biker-subculture
2025-04-23T11:07:35.189Z Updated collection biodegradable-labels
2025-04-23T11:07:35.702Z Updated collection biodegradable-stickers
2025-04-23T11:07:36.247Z Updated collection biohazard
2025-04-23T11:07:37.124Z Updated collection biohazard-mug
2025-04-23T11:07:37.956Z Updated collection biohazard-sticker
2025-04-23T11:07:38.981Z Updated product gid://shopify/Product/8993786134779 tags -> 20-haircut-sticker,Lundy's Lane barber,ai_optimized_2025-04-14,ai_optimized_2025-04-18,ai_optimized_2025-04-20,barber shop decal,barbershop promotion,promotional window sticker,shop advertisement,trap_door_opt_20250418,trap_door_opt_20250420,vinyl decal,window vinyl sticker
2025-04-23T11:07:39.870Z Updated product gid://shopify/Product/8982365143291 tags -> 18-decal,ai_optimized_2025-04-14,ai_optimized_2025-04-18,ai_optimized_2025-04-20,automotive decal,car sticker,classic car decal,firebird vinyl decal,gold phoenix decal,premium vinyl decal,retro car graphic,trap_door_opt_20250418,trap_door_opt_20250420,truck decal,uv resistant,vehicle customization
2025-04-23T11:07:40.654Z Updated product gid://shopify/Product/8982365176059 tags -> 18-decal,Christian humor,Christian vinyl decal,Jesus I saw that decal,Orajet 651,ai_optimized_2025-04-14,ai_optimized_2025-04-18,ai_optimized_2025-04-20,car sticker,church gift,faith sticker,funny Jesus sticker,humorous sticker,quirky faith decor,trap_door_opt_20250418,trap_door_opt_20250420,waterproof decal
2025-04-23T11:07:41.446Z Updated product gid://shopify/Product/8982365208827 tags -> 18-decal,Canada,Canadian pride,UV resistant,activism,ai_optimized_2025-04-14,ai_optimized_2025-04-18,ai_optimized_2025-04-20,car sticker,flag decal,laptop sticker,maple leaf,patriotic sticker,protest,trap_door_opt_20250418,trap_door_opt_20250420,unique gift,vinyl decal,weatherproof,window decal
2025-04-23T11:07:42.285Z Updated product gid://shopify/Product/8982365241595 tags -> 18-decal,Christian gift,Christian vinyl sticker,Jesus car decal,ai_optimized_2025-04-14,ai_optimized_2025-04-18,ai_optimized_2025-04-20,faith humor decal,funny Jesus decal,humerous Christian sticker,laptop sticker,peekaboo Jesus,trap_door_opt_20250418,trap_door_opt_20250420,waterproof car sticker
2025-04-23T11:07:42.973Z Updated product gid://shopify/Product/8982365274363 tags -> 18-decal,NBA sticker,Oracal 651 vinyl,Raptors merchandise,Toronto Raptors,ai_optimized_2025-04-14,ai_optimized_2025-04-18,ai_optimized_2025-04-20,basketball fan gift,car decal,collectible sticker,laptop sticker,retro logo decal,retro sports merch,sports collectible,team pride,trap_door_opt_20250418,trap_door_opt_20250420,vinyl decal,waterproof sticker
2025-04-23T11:07:43.825Z Updated product gid://shopify/Product/8982365307131 tags -> 18-decal,GTA Liberty City Stories,GTA collectible,Rockstar Games,ai_optimized_2025-04-14,ai_optimized_2025-04-18,ai_optimized_2025-04-20,car decal,console accessories,gamer gift,gaming sticker,laptop sticker,trap_door_opt_20250418,trap_door_opt_20250420,vinyl decal,waterproof decal
2025-04-23T11:07:44.513Z Updated product gid://shopify/Product/8982365339899 tags -> 18-decal,Canada pride,Canadian welcome sign,ai_optimized_2025-04-14,ai_optimized_2025-04-18,ai_optimized_2025-04-20,coroplast sign,cottage decor,entryway decor,maple leaf decor,patriotic sign,trap_door_opt_20250418,trap_door_opt_20250420,vinyl decal,weatherproof sign,window decal
2025-04-23T11:07:45.446Z Updated product gid://shopify/Product/8982365372667 tags -> 18-decal,80s nostalgia,GTA Vice City,Miami vintage,Oracal 651,Rockstar Games,UV resistant,ai_optimized_2025-04-14,ai_optimized_2025-04-18,ai_optimized_2025-04-20,car decal,collectible,console decal,gamer gift,laptop sticker,retro gaming sticker,trap_door_opt_20250418,trap_door_opt_20250420,video game merch,vinyl decal,waterproof sticker
